2021-10-09 07:04:25,776: 'k'
2021-10-09 07:04:25,811: 'f'
2021-10-09 07:04:25,822: 'j'
2021-10-09 07:04:25,840: 'd'
2021-10-09 07:04:25,960: 'a'
2021-10-09 07:04:35,519: 't'
2021-10-09 07:04:35,527: 'e'
2021-10-09 07:04:35,632: 's'
2021-10-09 07:04:35,731: 't'
2021-10-09 07:04:35,964: 's'
2021-10-09 07:04:36,052: 't'
2021-10-09 07:04:36,194: 's'
2021-10-09 07:04:36,223: 'l'
2021-10-09 07:04:36,489: 'l'
2021-10-09 07:04:36,539: 'k'
2021-10-09 07:04:36,544: 'd'
2021-10-09 07:04:36,556: 'a'
2021-10-09 07:04:36,573: 'j'
2021-10-09 07:04:36,619: 'f'
2021-10-09 07:04:36,727: 'l'
2021-10-09 07:04:36,755: 'k'
2021-10-09 07:04:37,143: Key.ctrl_l
2021-10-09 07:04:37,364: '\x01'
2021-10-09 07:04:37,621: Key.backspace
2021-10-09 07:04:44,153: Key.ctrl_l
2021-10-09 07:04:44,515: '\x03'
2021-10-09 07:04:45,898: Key.ctrl_l
2021-10-09 07:04:46,407: Key.ctrl_l
2021-10-09 07:04:46,438: Key.ctrl_l
2021-10-09 07:04:46,469: Key.ctrl_l
2021-10-09 07:04:46,501: Key.ctrl_l
2021-10-09 07:04:46,522: '\x03'
2021-10-09 07:04:46,843: '\x03'
2021-10-09 07:04:49,266: 't'
2021-10-09 07:05:19,721: Key.ctrl_l
2021-10-09 07:05:20,017: '\x03'
